Date;Close;Open;High;Low;;;;;
04.12.13;1071.2848;1028.845;1092.83331;1021.177;;;;;
05.12.13;1139.33083;1071.2848;1151.29749;1066.87277;;;;;
06.12.13;1004.61633;1139.33083;1144.36916;870.3838;;;;;
07.12.13;759.43041;1004.61633;1038.55;656.87499;;;;;
08.12.13;689.81;759.43041;826.32766;558.08333;;;;;
09.12.13;841.83966;689.81;845.85092;682.71342;;;;;
10.12.13;916.77599;841.83966;948.68183;809.91748;;;;;
11.12.13;967.42866;916.77599;1004.93666;900.68016;;;;;
12.12.13;866.29003;967.42866;975.62383;832.22683;;;;;
13.12.13;911.23204;866.29003;919.30033;843.4055;;;;;
14.12.13;889.81946;911.23204;933.17016;859.44999;;;;;
15.12.13;848.9975;889.81946;897.30915;848.25583;;;;;
16.12.13;868.95316;848.9975;886.23583;819.43828;;;;;
17.12.13;653.80483;868.95316;876.21516;636.15056;;;;;
18.12.13;654.06266;653.80483;757.02366;647.62209;;;;;
19.12.13;553.69166;654.06266;654.06266;422.497;;;;;
20.12.13;693.05883;553.69166;710.3255;545.53966;;;;;
21.12.13;649.38965;693.05883;733.23666;598.06131;;;;;
22.12.13;595.95883;649.38965;651.8435;580.72816;;;;;
23.12.13;647.68316;595.95883;671.59166;594.36595;;;;;
24.12.13;671.58116;647.68316;685.3675;632.5431;;;;;
25.12.13;659.84333;671.58116;675.614;645.78333;;;;;
26.12.13;702.00083;659.84333;720.22498;651.53;;;;;
27.12.13;758.01016;702.00083;780.93666;698.07;;;;;
28.12.13;734.01166;758.01016;772.90666;723.98666;;;;;
29.12.13;717.92623;734.01166;753.83333;705.1025;;;;;
30.12.13;752.82022;717.92623;759.6362;713.751;;;;;
31.12.13;744.17249;752.82022;763.83;743.7;;;;;
01.01.14;768.40783;744.17249;772.959;733.19433;;;;;
02.01.14;769.09849;768.40783;774.26333;750.52516;;;;;
03.01.14;804.02719;769.09849;826.34166;768.15367;;;;;
04.01.14;813.31748;804.02719;839.85833;798.11833;;;;;
05.01.14;871.11583;813.31748;873.98;808.71666;;;;;
06.01.14;970.65083;871.11583;972.00354;861.25831;;;;;
07.01.14;962.46447;970.65083;1023.16666;914.76666;;;;;
08.01.14;855.75933;962.46447;970.22516;788.70166;;;;;
09.01.14;860.84166;855.75933;886.02916;822.32296;;;;;
10.01.14;847.5325;860.84166;880.64166;814.17054;;;;;
11.01.14;892.26115;847.5325;902.035;837.57458;;;;;
12.01.14;916.69666;892.26115;940.495;876.57666;;;;;
13.01.14;873.27168;916.69666;920.71733;857.73833;;;;;
14.01.14;863.69888;873.27168;873.27168;821.00333;;;;;
15.01.14;853.25666;863.69888;871.11385;839.125;;;;;
16.01.14;874.07416;853.25666;888.88519;853.25666;;;;;
17.01.14;842.19173;874.07416;879.62999;841.27916;;;;;
18.01.14;834.86666;842.19173;854.32827;810.22333;;;;;
19.01.14;838.42916;834.86666;850.56666;834.08333;;;;;
20.01.14;881.87583;838.42916;885.16166;834.77499;;;;;
21.01.14;873.28916;881.87583;882.45166;857.84584;;;;;
22.01.14;874.13266;873.28916;876.14065;861.77833;;;;;
23.01.14;864.56116;874.13266;874.13266;854.05916;;;;;
24.01.14;838.14997;864.56116;866.45964;834.99822;;;;;
25.01.14;834.57416;838.14997;838.26;810.64042;;;;;
26.01.14;858.12641;834.57416;876.24165;833.72638;;;;;
27.01.14;887.08337;858.12641;899.2283;851.74833;;;;;
28.01.14;830.53133;887.08337;887.37698;800.03833;;;;;
29.01.14;832.89496;830.53133;860.24269;798.18333;;;;;
30.01.14;832.87399;832.89496;846.92594;832.25583;;;;;
31.01.14;841.48914;832.87399;855.86653;816.05635;;;;;
01.02.14;847.36383;841.48914;852.3975;839.53166;;;;;
02.02.14;854.7225;847.36383;869.4796;843.35344;;;;;
03.02.14;856.03366;854.7225;882.43124;850.30816;;;;;
04.02.14;847.70697;856.03366;856.03366;842.73749;;;;;
05.02.14;844.28836;847.70697;852.26152;839.72962;;;;;
06.02.14;802.75333;844.28836;846.35105;793.63344;;;;;
07.02.14;748.43559;802.75333;815.79724;738.61499;;;;;
08.02.14;692.66914;748.43559;758.33833;658.83333;;;;;
09.02.14;668.86463;692.66914;721.64138;657.87721;;;;;
10.02.14;700.44843;668.86463;711.97109;662.74428;;;;;
11.02.14;694.3125;700.44843;702.36822;535.55166;;;;;
12.02.14;665.7975;694.3125;710.6525;635.23249;;;;;
13.02.14;645.615;665.7975;671.9975;633.395;;;;;
14.02.14;578.4125;645.615;653.355;532.3125;;;;;
15.02.14;641.91;578.4125;696.75;553.075;;;;;
16.02.14;656.2725;641.91;657.99749;626.80499;;;;;
17.02.14;611.04499;656.2725;657.2725;576.025;;;;;
18.02.14;634.99;611.04499;653.75;603.0675;;;;;
19.02.14;618.79;634.99;641.37249;607.9425;;;;;
20.02.14;619.8425;618.79;625.4225;612.5025;;;;;
21.02.14;545.7625;619.8425;620.84;525.0725;;;;;
22.02.14;561.535;545.7625;581.24;538.12249;;;;;
23.02.14;622.22;561.535;622.22;554.3525;;;;;
24.02.14;572.7675;622.22;637.5025;567.5;;;;;
25.02.14;501.155;572.7675;583.135;492.8925;;;;;
26.02.14;550.6025;501.155;562.54499;418.755;;;;;
27.02.14;573.1025;550.6025;599.505;548.98749;;;;;
28.02.14;567.2925;573.1025;583.7825;558.2225;;;;;
01.03.14;551.73;567.2925;570.7875;535.87;;;;;
02.03.14;560.195;551.73;570.0025;548.7825;;;;;
03.03.14;567.7;560.195;568.275;550.74749;;;;;
04.03.14;666.1475;567.7;681.615;562.3025;;;;;
05.03.14;660.84;666.1475;698.05;653.525;;;;;
06.03.14;662.0225;660.84;666.3275;643.525;;;;;
07.03.14;651.285;662.0225;663.74;644.345;;;;;
08.03.14;612.33;651.285;653.98249;611.02;;;;;
09.03.14;611.1625;612.33;626.25;600.99249;;;;;
10.03.14;637.615;611.1625;644.8825;610.0675;;;;;
11.03.14;626;637.615;642.5275;610.995;;;;;
12.03.14;633.74749;626;645.75;615.2725;;;;;
13.03.14;631.755;633.74749;639.5375;627.3925;;;;;
14.03.14;636.41414;631.755;641.66999;631.315;;;;;
15.03.14;628.18751;636.41414;636.75668;624.77166;;;;;
16.03.14;632.95333;628.18751;636;625.54183;;;;;
17.03.14;630.34833;632.95333;635.24333;627.48;;;;;
18.03.14;617.24333;630.34833;630.77666;616.17333;;;;;
19.03.14;616.86665;617.24333;621.47168;599.75998;;;;;
20.03.14;601.015;616.86665;621.18353;601.00996;;;;;
21.03.14;581.33333;601.015;604.52831;579.55331;;;;;
22.03.14;570.36168;581.33333;605.15331;563.46166;;;;;
23.03.14;562.95333;570.36168;571.86663;550.60331;;;;;
24.03.14;557.16833;562.95333;570.33081;551.16331;;;;;
25.03.14;573.34998;557.16833;587.98666;552.12997;;;;;
26.03.14;572.49161;573.34998;585.57499;570.43831;;;;;
27.03.14;570.54833;572.49161;589.95497;561.61165;;;;;
28.03.14;509.70665;570.54833;571.57667;471.01833;;;;;
29.03.14;499.24998;509.70665;525.16333;487.16333;;;;;
30.03.14;486.80845;499.24998;504.21231;483.5116;;;;;
31.03.14;472.4783;486.80845;486.80845;443.26166;;;;;
01.04.14;464.88;472.4783;472.4783;442.19166;;;;;
02.04.14;480.16581;464.88;500.64066;459.6783;;;;;
03.04.14;427.87498;480.16581;494.98333;419.705;;;;;
04.04.14;432.99716;427.87498;456.34863;414.41333;;;;;
05.04.14;453.87148;432.99716;455.99333;428.63;;;;;
06.04.14;462.445;453.87148;465.63773;444.13629;;;;;
07.04.14;456.46948;462.445;466.475;450.80566;;;;;
08.04.14;452.81;456.46948;458.925;443.71861;;;;;
09.04.14;450.48083;452.81;456.88188;446.71668;;;;;
10.04.14;426.98333;450.48083;453.06422;423.82189;;;;;
11.04.14;374.59166;426.98333;427.5385;344.22166;;;;;
12.04.14;438.24666;374.59166;438.24666;374.59166;;;;;
13.04.14;423.51566;438.24666;438.91098;413.08833;;;;;
14.04.14;409.03166;423.51566;425.68516;394.1018;;;;;
15.04.14;455.28316;409.03166;470.95333;406.85585;;;;;
16.04.14;517.09666;455.28316;524.80583;454.18166;;;;;
17.04.14;522.455;517.09666;543.31749;493.08333;;;;;
18.04.14;490.8785;522.455;529.29783;481.45501;;;;;
19.04.14;469.38332;490.8785;497.77333;468.16166;;;;;
20.04.14;507.80663;469.38332;511.76836;467.81668;;;;;
21.04.14;505.09665;507.80663;510.83165;489.18038;;;;;
22.04.14;497.65001;505.09665;507.44998;488.875;;;;;
23.04.14;487.84;497.65001;498.59166;482.73666;;;;;
24.04.14;487.11333;487.84;489.32333;480.58666;;;;;
25.04.14;469.08816;487.11333;500.62333;468.98333;;;;;
26.04.14;448.77834;469.08816;472.48499;440.13883;;;;;
27.04.14;452.14829;448.77834;463.18666;448.50008;;;;;
28.04.14;426.78166;452.14829;457.45584;423.40166;;;;;
29.04.14;432.60498;426.78166;445.73085;421.07659;;;;;
30.04.14;444.85668;432.60498;449.08171;431.00828;;;;;
01.05.14;454.55666;444.85668;455.43;432.97666;;;;;
02.05.14;453.59833;454.55666;459.42666;447.27006;;;;;
03.05.14;441.97833;453.59833;453.59833;439.90333;;;;;
04.05.14;438.29035;441.97833;443.36661;428.51808;;;;;
05.05.14;432.78748;438.29035;438.44883;428.51836;;;;;
06.05.14;418.61831;432.78748;434.35831;418.55791;;;;;
07.05.14;428.42593;418.61831;431.33331;418.01666;;;;;
08.05.14;442.57666;428.42593;446.35999;423.11181;;;;;
09.05.14;439.04;442.57666;445.01666;434.30833;;;;;
10.05.14;449.04333;439.04;451.24499;438.06666;;;;;
11.05.14;449.74166;449.04333;453.54333;446.21333;;;;;
12.05.14;434.27;449.74166;450.04166;430.33333;;;;;
13.05.14;437;434.27;440.21333;431.515;;;;;
14.05.14;438.88;437;439.51833;433.13333;;;;;
15.05.14;445.045;438.88;445.89666;438.88;;;;;
16.05.14;443.18;445.045;447.74499;441.73333;;;;;
17.05.14;445.60666;443.18;447.15166;442.29;;;;;
18.05.14;445.15666;445.60666;446.48;443.78166;;;;;
19.05.14;444.73833;445.15666;446.18166;442.35;;;;;
20.05.14;455.65333;444.73833;458.23333;442.05333;;;;;
21.05.14;489.86999;455.65333;494.21;450.16333;;;;;
22.05.14;490.18666;489.86999;494.46166;487.63;;;;;
23.05.14;522.31;490.18666;535.09;487.815;;;;;
24.05.14;512.30833;522.31;543.095;511.97333;;;;;
25.05.14;533.92999;512.30833;535.725;511.69833;;;;;
26.05.14;579.59333;533.92999;589.945;533.13;;;;;
27.05.14;581.51;579.59333;589.78166;575.84;;;;;
28.05.14;572.44833;581.51;591.24166;549.62;;;;;
29.05.14;562.4;572.44833;576.55666;560.415;;;;;
30.05.14;571.845;562.4;573.27;556.28166;;;;;
31.05.14;612.12666;571.845;622.50666;566.69666;;;;;
01.06.14;638.16333;612.12666;638.94666;610.82499;;;;;
02.06.14;634.98333;638.16333;676.60333;620.585;;;;;
03.06.14;660.24666;634.98333;667.19333;610.99333;;;;;
04.06.14;627.79833;660.24666;675.73833;617.78666;;;;;
05.06.14;642.89166;627.79833;650.76333;624.965;;;;;
06.06.14;652.52666;642.89166;664.97833;639.42833;;;;;
07.06.14;648.60166;652.52666;657.94166;635.85166;;;;;
08.06.14;652.59166;648.60166;656.84666;646.63166;;;;;
09.06.14;652.11;652.59166;655.015;649.41333;;;;;
10.06.14;644.085;652.11;653.34666;637.57833;;;;;
11.06.14;642.00666;644.085;657.97;640.465;;;;;
12.06.14;632.55;642.00666;646.385;624.16166;;;;;
13.06.14;585.48333;632.55;633.66166;562.59;;;;;
14.06.14;588.52333;585.48333;613.465;584.635;;;;;
15.06.14;570.28833;588.52333;590.76166;541.19333;;;;;
16.06.14;589.06666;570.28833;593.54833;551.31;;;;;
17.06.14;592.25666;589.06666;606.82166;585.685;;;;;
18.06.14;610.41333;592.25666;613.99166;590.18833;;;;;
19.06.14;601.88666;610.41333;612.85666;599.72333;;;;;
20.06.14;594.09333;601.88666;605.93833;590.16999;;;;;
21.06.14;582.04499;594.09333;595.21666;581.18833;;;;;
22.06.14;599.57;582.04499;603.205;581.68666;;;;;
23.06.14;592.405;599.57;602.82833;591.495;;;;;
24.06.14;584.64166;592.405;593.255;580.84;;;;;
25.06.14;575.905;584.64166;588.78;570.47166;;;;;
26.06.14;571.76666;575.905;576.03166;558.58333;;;;;
27.06.14;582.43166;571.76666;584.16333;565.91833;;;;;
28.06.14;597.66833;582.43166;600.72;576.24833;;;;;
29.06.14;598.73333;597.66833;604.33833;591.205;;;;;
30.06.14;597.51333;598.73333;600.54166;588.98;;;;;
01.07.14;647.12249;597.51333;647.12249;597.04499;;;;;
02.07.14;637.85625;647.12249;654.76874;627.77125;;;;;
03.07.14;642.65125;637.85625;653.65875;635.17999;;;;;
04.07.14;643.95124;642.65125;646.88375;635.26625;;;;;
05.07.14;628.41625;643.95124;644.18125;625.80125;;;;;
06.07.14;631.03;628.41625;635.89874;624.50125;;;;;
07.07.14;631.29875;631.03;632.575;627.43125;;;;;
08.07.14;621.24249;631.29875;633.0625;612.2625;;;;;
09.07.14;620.72;621.24249;621.74749;616.19625;;;;;
10.07.14;621.3075;620.72;624.01;616.165;;;;;
11.07.14;616.83124;621.3075;621.4675;609.4275;;;;;
12.07.14;634.35749;616.83124;636.61875;613.94875;;;;;
13.07.14;627.69;634.35749;635.04625;625.99249;;;;;
14.07.14;621.42499;627.69;634.12;621.28;;;;;
15.07.14;618.73875;621.42499;623.24749;615.9775;;;;;
16.07.14;619.8075;618.73875;622.46124;617.84124;;;;;
17.07.14;614.68875;619.8075;620.45;612.87625;;;;;
18.07.14;623.49749;614.68875;627.04625;611.75;;;;;
19.07.14;623.99625;623.49749;628.54499;616.475;;;;;
20.07.14;623.00625;623.99625;626.80875;621.365;;;;;
21.07.14;617.96124;623.00625;623.97375;617.38375;;;;;
22.07.14;622.10749;617.96124;622.20624;616.73375;;;;;
23.07.14;618.4475;622.10749;622.49125;617.945;;;;;
24.07.14;617.6875;618.4475;619.92375;616.93375;;;;;
25.07.14;602.93125;617.6875;618.26374;591.455;;;;;
26.07.14;597.585;602.93125;605.98125;593.5875;;;;;
27.07.14;592.96375;597.585;598.15625;590.17625;;;;;
28.07.14;580.11;592.96375;595.87875;579.15125;;;;;
29.07.14;585.44875;580.11;622.93125;511.66375;;;;;
30.07.14;580.5175;585.44875;586.625;577.58124;;;;;
31.07.14;564.57;580.5175;581.28125;559.62249;;;;;
01.08.14;583.39;564.57;587.96;564.57;;;;;
02.08.14;593.80625;583.39;601.835;582.61;;;;;
03.08.14;581.52;593.80625;594.16875;580.22625;;;;;
04.08.14;585.80125;581.52;588.20375;578.20875;;;;;
05.08.14;582.33375;585.80125;592.83624;581.84375;;;;;
06.08.14;582.52125;582.33375;586.70875;579.83624;;;;;
07.08.14;583.62375;582.52125;586.8775;578.80125;;;;;
08.08.14;595.80875;583.62375;598.76874;581.7175;;;;;
09.08.14;585.39625;595.80875;596.385;585.23125;;;;;
10.08.14;586.05875;585.39625;588.99749;584.89;;;;;
11.08.14;588.7525;586.05875;593.6975;585.695;;;;;
12.08.14;566.31625;588.7525;588.7525;564.91999;;;;;
13.08.14;565.55125;566.31625;573.31375;562.8375;;;;;
14.08.14;534.54;565.55125;565.73;524.33;;;;;
15.08.14;511.4725;534.54;534.57875;495.26;;;;;
16.08.14;487.56625;511.4725;515.36;483.475;;;;;
17.08.14;516.62625;487.56625;522.19;484.215;;;;;
18.08.14;489.4675;516.62625;516.95375;482.85875;;;;;
19.08.14;455.91625;489.4675;491.965;435.59875;;;;;
20.08.14;472.91;455.91625;488.52625;455.83375;;;;;
21.08.14;519.015;472.91;532.7675;464.39625;;;;;
22.08.14;508.12875;519.015;526.78625;506.63625;;;;;
23.08.14;507.51;508.12875;522.19375;500.03625;;;;;
24.08.14;501.63125;507.51;509.285;490.61;;;;;
25.08.14;503.32125;501.63125;513.375;496.2525;;;;;
26.08.14;504.62625;503.32125;506.19875;497.67625;;;;;
27.08.14;513.39125;504.62625;514.85375;503.22625;;;;;
28.08.14;514.62375;513.39125;521.34875;509.58875;;;;;
29.08.14;506.025;514.62375;515.78375;505.46125;;;;;
30.08.14;504.70625;506.025;512.28;502.4225;;;;;
31.08.14;502.055;504.70625;505.585;499.49875;;;;;
01.09.14;474.5425;502.055;502.54375;474.09125;;;;;
02.09.14;477.98375;474.5425;485.94;471.12375;;;;;
03.09.14;476.88375;477.98375;483.305;470.88375;;;;;
04.09.14;475.65;476.88375;479.59875;473.87875;;;;;
05.09.14;485.65125;475.65;494.03625;475.10375;;;;;
06.09.14;480.9075;485.65125;489.5875;478.82625;;;;;
07.09.14;481.88375;480.9075;484.8225;479.78;;;;;
08.09.14;473.58625;481.88375;485.37;471.99875;;;;;
09.09.14;468.5775;473.58625;478.3925;464.52;;;;;
10.09.14;474.29125;468.5775;478.03375;464.65625;;;;;
11.09.14;479.4175;474.29125;487.20625;474.29125;;;;;
12.09.14;473.6725;479.4175;480.3975;471.16625;;;;;
13.09.14;471.5325;473.6725;476.02125;467.1125;;;;;
14.09.14;475.37875;471.5325;479.2275;470.97125;;;;;
15.09.14;475.02125;475.37875;477.78375;473.335;;;;;
16.09.14;471.08375;475.02125;476.43625;468.3875;;;;;
17.09.14;464.55375;471.08375;472.42125;461.65625;;;;;
18.09.14;449.95875;464.55375;465.32375;446.705;;;;;
19.09.14;425.4475;449.95875;451.36625;405.18375;;;;;
20.09.14;410.08;425.4475;426.48125;380.745;;;;;
21.09.14;405.79625;410.08;422.99125;401.93375;;;;;
22.09.14;399.0975;405.79625;405.79625;390.7875;;;;;
23.09.14;399.5025;399.0975;405.245;394.59125;;;;;
24.09.14;427.8125;399.5025;443.6875;391.45625;;;;;
25.09.14;416.12;427.8125;431.79;412.89875;;;;;
26.09.14;410.15;416.12;418.56;406.60125;;;;;
27.09.14;403.4975;410.15;411.04;396.04375;;;;;
28.09.14;398.84;403.4975;405.205;394.14;;;;;
29.09.14;377.97875;398.84;398.8675;370.05625;;;;;
30.09.14;376.08375;377.97875;385.71375;369.125;;;;;
01.10.14;387.94;376.08375;393.98;373.77625;;;;;
02.10.14;381.7475;387.94;390.35375;377.6;;;;;
03.10.14;372.0575;381.7475;382.77125;369.24875;;;;;
04.10.14;360.7525;372.0575;374.555;353.80125;;;;;
05.10.14;335.98125;360.7525;362.13;321.86375;;;;;
06.10.14;308.07875;335.98125;337.22375;286.36874;;;;;
07.10.14;337.23375;308.07875;343.51;304.6875;;;;;
08.10.14;326.2325;337.23375;338.76;316.71749;;;;;
09.10.14;351.34625;326.2325;355.73875;325.51375;;;;;
10.10.14;368.59625;351.34625;382.66625;347.19;;;;;
11.10.14;359.2025;368.59625;374.90375;351.54;;;;;
12.10.14;356.99875;359.2025;363.73375;350.48625;;;;;
13.10.14;371.15625;356.99875;377.92125;352.45375;;;;;
14.10.14;392.7825;371.15625;394.5675;366.7275;;;;;
15.10.14;396.34625;392.7825;409.73375;390.89375;;;;;
16.10.14;392.56625;396.34625;397.48375;386.385;;;;;
17.10.14;376.26875;392.56625;393.36375;369.29375;;;;;
18.10.14;378.675;376.26875;382.7;371.83375;;;;;
19.10.14;390.95875;378.675;392.87125;376.21125;;;;;
20.10.14;381.72375;390.95875;391.365;381.72375;;;;;
21.10.14;380.0575;381.72375;383.8175;377.025;;;;;
22.10.14;382.93875;380.0575;388.965;377.90937;;;;;
23.10.14;376.59;382.93875;383.8075;376.59;;;;;
24.10.14;351.7825;376.59;376.59;351.25625;;;;;
25.10.14;353.6325;351.7825;360.555;351.12;;;;;
26.10.14;345.1925;353.6325;355.545;339.92625;;;;;
27.10.14;350.9775;345.1925;357.86875;345.1925;;;;;
28.10.14;349.79625;350.9775;355.53125;346.00125;;;;;
29.10.14;348.9025;349.79625;354.6925;346.82875;;;;;
30.10.14;335.53625;348.9025;351.84875;332.49874;;;;;
31.10.14;343.55875;335.53625;350.41375;332.73375;;;;;
01.11.14;338.0105;343.55875;346.26625;335.50367;;;;;
02.11.14;325.22633;338.0105;338.1295;319.367;;;;;
03.11.14;331.60083;325.22633;333.75983;319.0435;;;;;
04.11.14;324.71833;331.60083;332.75133;323.06333;;;;;
05.11.14;332.45666;324.71833;335.81166;320.93333;;;;;
06.11.14;336.585;332.45666;341.49;328.56166;;;;;
07.11.14;346.775;336.585;351.575;336.02833;;;;;
08.11.14;344.81166;346.775;351.295;339.86;;;;;
09.11.14;343.065;344.81166;345.625;340.63;;;;;
10.11.14;358.50166;343.065;363.85333;342.325;;;;;
11.11.14;368.07666;358.50166;374.71166;357.98;;;;;
12.11.14;376.99666;368.07666;380.52;360.49166;;;;;
13.11.14;442.10666;376.99666;442.37166;376.98666;;;;;
14.11.14;389.00333;442.10666;458.05166;385.675;;;;;
15.11.14;394.92666;389.00333;412.20666;381.855;;;;;
16.11.14;377.08;394.92666;397.02666;368.45;;;;;
17.11.14;400.47166;377.08;404.445;376.615;;;;;
18.11.14;384.93;400.47166;410.17;375.47833;;;;;
19.11.14;375.83333;384.93;389.35999;369.515;;;;;
20.11.14;376.16;375.83333;385.06;371.71833;;;;;
21.11.14;348.565;376.16;377.63;347.51333;;;;;
22.11.14;352.42;348.565;355.835;341.93;;;;;
23.11.14;356.8;352.42;363.70166;351.06833;;;;;
24.11.14;367.83;356.8;371.24166;353.475;;;;;
25.11.14;381.20666;367.83;388.67666;364.89;;;;;
26.11.14;375.498;381.20666;393.06333;369.851;;;;;
27.11.14;372.819;375.498;377.667;365.265;;;;;
28.11.14;368.983;372.819;373.272;367.401;;;;;
29.11.14;375.44;368.983;381.554;358.018;;;;;
30.11.14;376.851;375.44;385.537;372.332;;;;;
01.12.14;376.13218;376.851;381.582;374.492;;;;;
02.12.14;377.862;376.13218;382.602;376.082;;;;;
03.12.14;382.452;377.862;383.719;377.85311;;;;;
04.12.14;376.382;382.452;383.008;373.9132;;;;;
05.12.14;368.3618;376.382;378.106;365.543;;;;;
06.12.14;373.414;368.3618;378.235;367.6398;;;;;
07.12.14;373.744;373.414;375.501;370.93;;;;;
08.12.14;373.155;373.744;375.849;373.059;;;;;
09.12.14;357.884;373.155;373.7;356.069;;;;;
10.12.14;348.898;357.884;358.097;344.198;;;;;
11.12.14;341.041;348.898;351.242;337.632;;;;;
12.12.14;348.272;341.041;361.003;340.081;;;;;
13.12.14;346.742;348.272;353.846;345.851;;;;;
14.12.14;347.348;346.742;348.36;345.363;;;;;
15.12.14;348.674;347.348;353.14099;346.519;;;;;
16.12.14;338.547;348.674;349.745;337.79;;;;;
17.12.14;330.536;338.547;339.901;323.77499;;;;;
18.12.14;317.405;330.536;331.281;314.438;;;;;
19.12.14;306.45999;317.405;317.405;304.225;;;;;
20.12.14;319.196;306.45999;320.19099;306.45999;;;;;
21.12.14;321.89299;319.196;330.77;319.196;;;;;
22.12.14;320.03499;321.89299;324.993;317.58299;;;;;
23.12.14;328.701;320.03499;332.466;318.975;;;;;
24.12.14;332.053;328.701;335.903;328.053;;;;;
25.12.14;321.386;332.053;332.821;317.734;;;;;
26.12.14;318.563;321.386;321.685;316.13;;;;;
27.12.14;320.868;318.563;330.467;318.494;;;;;
28.12.14;316.009;320.868;321.556;312.007;;;;;
29.12.14;315.64;316.009;319.63099;310.541;;;;;
30.12.14;313.994;315.64;317.552;311.705;;;;;
31.12.14;309.903;313.994;314.467;308.812;;;;;
01.01.15;317.204;309.903;319.559;309.661;;;;;
02.01.15;314.49899;317.204;317.31599;312.567;;;;;
03.01.15;311.14099;314.49899;315.56599;310.156;;;;;
04.01.15;277.853;311.14099;312.288;275.952;;;;;
05.01.15;270.813;277.853;286.243;257.022;;;;;
06.01.15;272.0175;270.813;277.97199;265.24;;;;;
07.01.15;283.84125;272.0175;286.95999;271.67874;;;;;
08.01.15;290.485;283.84125;300.24124;283.68;;;;;
09.01.15;281.03625;290.485;291.40499;280.365;;;;;
